datMyth.PTP	0	0	<EMPTY>	RESERVE{0A}神話 
datMyth.PTP	55	0	<EMPTY>	キリスト教のグノ‒シ{0A}ス主義で「天使たちの{0A}救世主」とされた天使。{0A}女神ソフィアより生ま{0A}れたとされる。{0A}聖書では正義の王メル{0A}キゼデクとして記され{0A}ている。	；在基督教的诺斯底主{0A}义中被视为「天使们{0A}的救世主」的天使。{0A}一般认为他是由女神{0A}索菲亚所生。在圣经{0A}里面被称为「仁义王{0A}默基瑟德」。
datMyth.PTP	56	0	<EMPTY>	神学に基づく天使のヒ{0A}エラルキ‒において、{0A}第4位「主天使」に数{0A}えられる中級天使。{0A}名は「統治」の意。{0A}神の威光を知らしめる{0A}ための働きを担うとさ{0A}れる。	；在根据神学所排出的{0A}天使位阶当中，属于{0A}第四阶「主天使」的{0A}中阶天使。名字的原{0A}意是「统治」。负责{0A}传播神之威严，使其{0A}广为众人所知。
datMyth.PTP	57	0	<EMPTY>	ドイツの叙事詩「ニ‒{0A}ベルンゲンの歌」に記{0A}される北欧の勇者。{0A}自らが倒した悪龍ファ{0A}フニ‒ルの血を浴びて{0A}傷つかない体となるが、{0A}唯一、木の葉が邪魔し{0A}背中の一点に急所を残{0A}す。ここを敵将ハゲネ{0A}に突かれて絶命した。	；德国的叙事诗「尼贝{0A}龙根之歌」中所记载{0A}着的北欧勇者。在亲{0A}手打倒邪龙法夫尼尔{0A}之后沐浴在它的鲜血{0A}中，使他拥有了不会{0A}受伤的身体。然而由{0A}于一片树叶遮蔽在他{0A}的背上，留下唯一的{0A}弱点，被敌将哈根抓{0A}住机会杀死。
datMyth.PTP	58	0	<EMPTY>	神学に基づく天使のヒ{0A}エラルキ‒において、{0A}第5位「力天使」に数{0A}えられる中級天使。{0A}名は「高潔」の意。{0A}実現象としての奇跡を{0A}司り、それをもって人{0A}間に勇気を授けるとさ{0A}れる。	；在根据神学所排出的{0A}天使位阶当中，属于{0A}第五阶「力天使」的{0A}中阶天使。名字的原{0A}意是「高洁」。掌管{0A}实际的奇迹现象，并{0A}以此授予人类勇气。
datMyth.PTP	59	0	<EMPTY>	神学に基づく天使のヒ{0A}エラルキ‒において、{0A}第6位「能天使」に数{0A}えられる中級天使。{0A}名は「神の力」の意。{0A}天界への悪魔の侵入を{0A}防ぐため、常に前線に{0A}立ち、天の回廊を巡る{0A}とされる。	；在根据神学所排出的{0A}天使位阶当中，属于{0A}第六阶「能天使」的{0A}中阶天使。名字的原{0A}意是「神之力」。为{0A}防止恶魔侵入天堂，{0A}经常站在最前线，并{0A}负责巡视天堂的回廊。
datMyth.PTP	60	0	<EMPTY>	神学に基づく天使のヒ{0A}エラルキ‒において、{0A}第8位に数えられる下{0A}級天使。{0A}国家や文明の盛衰を{0A}司り、人の営みに最も{0A}直接的に関る天使とさ{0A}れる。	；在根据神学所排出的{0A}天使位阶当中，属于{0A}第八阶的低阶天使。{0A}负责掌管国家与文明{0A}的盛衰，可说是最直{0A}接与人世事务相关的{0A}天使。
datMyth.PTP	61	0	<EMPTY>	キリスト教、ユダヤ教、{0A}イスラム教などに登場{0A}する神の意思の代行者。{0A}背に翼をもち、両性具有{0A}の姿で主に描かれる。{0A}神学では天使に9つの{0A}位階(ヒエラルキ‒){0A}を見出すが、エンジェ{0A}ルはその最下級である。	；于基督教、犹太教、{0A}伊斯兰教中都有的共{0A}同概念，是代为执行{0A}神之意志者。主要被{0A}描写为背上张有翅膀，{0A}并同时具有两性特征{0A}的形象。神学当中将{0A}天使分为九个阶位，{0A}这是其中位阶最低者。
datMyth.PTP	62	0	<EMPTY>	アラビアの古い大母神。{0A}カ‒バの地に4面の黒{0A}い石柱を本体として�{0A}られていたといわれる。{0A}息子である山と星の神{0A}ドゥスラと共に、砂漠{0A}の遊牧民たちの崇拝を{0A}集めたという。	；阿拉伯的古老母神。{0A}她的本尊是黑色的四{0A}方体石柱，被奉祀在{0A}沙特阿拉伯的麦加神{0A}庙当中。她的儿子是{0A}掌管山岳与星辰之神{0A}德斯拉，母子都受到{0A}沙漠游牧民族的虔诚{0A}崇拜。
datMyth.PTP	63	0	<EMPTY>	古代日本神話の主神。{0A}その姿は遮光器土偶に{0A}象られ、表される。{0A}神武天皇の東征軍に敗{0A}れたナガスネヒコが仰{0A}いだ事から、天皇家へ{0A}の逆賊の象徴として長{0A}らく信奉が弾圧されて{0A}きた。	；古代日本神话中的主{0A}神。外观就像遮光器{0A}土偶。由于败给神武{0A}天皇东征军的长髄彦{0A}信奉此神，长久以来{0A}被认定为反抗天皇家{0A}的象征，对其的信仰{0A}也遭到镇压。
datMyth.PTP	64	0	<EMPTY>	アフリカより来た地獄{0A}の元帥にして検察官で{0A}ある魔神。常に魔神た{0A}ちの様子を観察してい{0A}る。{0A}死霊や死体を操る術に{0A}長けており、魔神の中{0A}で最も優れたネクロマ{0A}ンサ‒の一柱とされる。	；来自非洲的地狱元帅，{0A}同时也身兼检察官的{0A}魔神。它不断地观察{0A}着其他魔神的状况，{0A}擅长操纵亡灵于尸体{0A}的术法，是魔神中最{0A}优秀的死灵法师之一。
datMyth.PTP	65	0	<EMPTY>	ソロモン王の72柱の{0A}魔神の1者。{0A}五ぼう星図の姿をした{0A}奇妙な悪魔。鳥と宝石{0A}について熟知しており、{0A}従える使い魔も鳥の姿{0A}であるという。	；所罗门王72柱魔神{0A}之一。外观犹如五芒{0A}星一般的奇怪恶魔。{0A}对于鸟类和宝石了若{0A}指掌。它所使唤的使{0A}魔，外型也是鸟类。
datMyth.PTP	66	0	<EMPTY>	京都鞍馬山に棲んでい{0A}たとされる天狗。{0A}日本の伝承に残る天狗{0A}の中でも、最大の力と{0A}知名度を誇る者の1つ{0A}で、除厄と招福に関し{0A}て絶大な力を持つとい{0A}う。ビシャモンテンの{0A}夜の姿だとも言われる。	；相传栖息于京都鞍马{0A}山的天狗。在日本传{0A}说中的天狗当中，是{0A}力量最强、知名度最{0A}高者之一。在除厄与{0A}招福方面，拥有非常{0A}强大的能力，有人说{0A}其为毗沙门天在夜晚的姿态。
datMyth.PTP	67	0	<EMPTY>	日本神話において黄泉{0A}に棲むとされる鬼女。{0A}黄泉比良坂でイザナミ{0A}がイザナギに対して最{0A}初に放った追っ手。{0A}各自がヨモツイクサの{0A}軍勢を束ねている。	；在日本神话中被认为{0A}是栖息于黄泉中的鬼{0A}女。是伊邪那美在黄{0A}泉比良坂上，最先对{0A}伊邪那岐派出的追兵。{0A}她们各自都率领着一{0A}群黄泉军。
datMyth.PTP	68	0	<EMPTY>	インド神話においてコ{0A}ブラが神聖視され半人{0A}半蛇の神となったもの。{0A}再生や復活を司る。{0A}河川、湖、海などの底{0A}にある楽園に棲み、戦{0A}いの無い時には歌と踊{0A}りに明け暮れている。	；印度神话中将眼镜蛇{0A}神格化之后的半人半{0A}蛇之神，掌管再生与{0A}复活。据说他们生活{0A}在河流、湖泊、大海{0A}等地之下的乐园之中，{0A}没有战争的时候就会{0A}终日载歌载舞。
datMyth.PTP	69	0	<EMPTY>	北欧神話の運命の女神{0A}たち。巨人族であると{0A}いわれる。{0A}世界樹イグドラジルの{0A}根の下に湧く井戸を住{0A}家としている。彼女た{0A}ちの決定する運命には、{0A}神々も従わざるを得な{0A}いという。	；北欧神话中的命运女{0A}神们。有人认为她们{0A}属于巨人族。她们以{0A}世界树根部的湧井为{0A}居所。有她们决定的{0A}命运，就连众神也必{0A}须遵守。
datMyth.PTP	70	0	<EMPTY>	ギリシャ神話において{0A}主神より運命の司を任{0A}されたとされる3姉妹、{0A}「モイライ」の1者。{0A}運命の糸を、ラケシス{0A}が定めた長さに従って{0A}アトロポスが断ち切る。{0A}右手にはそのためのハ{0A}サミを握っている。	；在希腊神话中奉主神{0A}之命掌管命运的三姐{0A}妹「莫伊莱」之一。{0A}由拉克西斯决定命运{0A}丝线的长度后，将由{0A}阿特洛波斯负责剪断。{0A}她的右手便拿着那把{0A}剪刀。
datMyth.PTP	71	0	<EMPTY>	ソロモン王の72柱の{0A}魔神の1者。{0A}馬の姿で現れ、召喚者{0A}の質問には過去·現在·{0A}未来、いずれに関する{0A}ものでも答えるという。{0A}魔術師の協力者といわ{0A}れる。	；所罗门王72柱魔神{0A}之一。以马的姿态出{0A}现，无论召唤者提出{0A}的问题是有关过去、{0A}现在或是未来，都会{0A}为其解答。它也被称{0A}为是魔术师的好帮手。
datMyth.PTP	72	0	<EMPTY>	ギリシャ神話において{0A}主神より運命の司を任{0A}されたとされる3姉妹、{0A}「モイライ」の1者。{0A}クロトが紡いだ糸を、{0A}ラケシスが測り、長さ{0A}を定める。その長さこ{0A}そ、即ち生命に与えら{0A}れる寿命の長さである{0A}という。	；在希腊神话中奉主神{0A}之命掌管命运的三姐{0A}妹「莫伊莱」之一。{0A}可罗索所织出的命运{0A}丝线，将交由拉克西{0A}斯丈量，并决定其长{0A}度。这道丝线的长度，{0A}将相当于那个人的寿{0A}命。
datMyth.PTP	73	0	<EMPTY>	神道の教義「一霊四魂」{0A}に示される、4つの魂の{0A}うちの1つ。{0A}狩猟や漁獲に関する恵{0A}みをもたらすという。	；神道教义「一灵四魂」{0A}所提到的四魂之一。{0A}据说能为人带来与狩{0A}猎和渔获相关的恩惠。
datMyth.PTP	74	0	<EMPTY>	ソロモン王の72柱の{0A}魔神の1者。{0A}騎士の姿で現れる。{0A}未来の出来事を見通す{0A}力を持ち、戦争に関し{0A}ても博学であるという。	；所罗门王72柱魔神{0A}之一。以骑士之姿现{0A}身，据说拥有看穿未{0A}来发生之事的能力，{0A}同时对于战争有关的{0A}事情也很博学多闻。
datMyth.PTP	75	0	<EMPTY>	ギリシャ神話において{0A}主神より運命の司を任{0A}されたとされる3姉妹、{0A}「モイライ」の1者。{0A}運命は糸に象徴され、{0A}クロトはその紡ぎ手に{0A}あたる。	；在希腊神话中奉主神{0A}之命掌管命运的三姐{0A}妹「莫伊莱」之一。{0A}可罗索负责纺出象征{0A}人的命运的丝线。
datMyth.PTP	76	0	<EMPTY>	ロ‒マの幸運の女神。{0A}運命の車輪を司るとさ{0A}れる。{0A}もとは家畜や穀物の多{0A}産·増殖をもたらす神{0A}であったといわれる。{0A}ギリシャ神話の女神テ{0A}ュケ‒と同一視されて{0A}いる。	；罗马的幸运女神。负{0A}责掌管命运之轮。{0A}原本是为家畜与谷物{0A}带来多产与丰收的神{0A}祇，后来与希腊神话{0A}的女神堤喀被视为同{0A}一存在。
datMyth.PTP	77	0	<EMPTY>	北欧神話の雷神。{0A}オ‒ディンと並び、最{0A}も多くの信奉者を集め{0A}た神。腕力を倍する魔{0A}法の手袋と、何処へ投{0A}げても必ず敵を砕いて{0A}主の手へ戻る鉄槌ミョ{0A}ルニルを持つ。{0A}ア‒ス神族随一の怪力{0A}の持ち主。	；北欧神话的雷神。{0A}和奥丁并列为最多信{0A}徒的神。他拥有能使{0A}腕力变为二倍的魔法{0A}手套，以及投出后必{0A}定会粉碎敌人并回到{0A}主人手上的铁锤妙尔{0A}尼尔。他是阿萨神族{0A}首屈一指的大力士。
datMyth.PTP	78	0	<EMPTY>	仏教の護法神。{0A}四天王の一者で、元来{0A}の名を多聞天。{0A}八部衆を同族にもつ。{0A}帝釈天の命を受け、四{0A}方位の北を守護する。{0A}聖徳太子に戦勝祈願を{0A}奉じられた謂れがあり、{0A}以来、戦神として武人{0A}の人気を集める。	；佛教的护法神。四天{0A}王之一。原名多闻天。{0A}与八部众实属一族。{0A}奉帝释天之命，守护{0A}四方位中的北方。{0A}传说被圣德太子也会{0A}向他祈求胜利。从那{0A}以后，被武人们奉为{0A}战神。
datMyth.PTP	79	0	<EMPTY>	日本神話の雷神。{0A}天津神に国を譲るに際{0A}し、高天原からの使者{0A}として、オオクニヌシ{0A}のもとを尋ねた神でも{0A}ある。{0A}手には十拳剣を持ち、{0A}古流剣術の祖とみなさ{0A}れる場合もある。	；日本神话中的雷神。{0A}天津神让出国家之时，{0A}他作为高天原派出的{0A}使者，拜访了大国主。{0A}手持十拳剑，有时会{0A}被认为是古流剑术的{0A}始祖。
datMyth.PTP	80	0	<EMPTY>	仏教の護法神。{0A}四天王の一者。{0A}八部衆を同族にもつ。{0A}帝釈天の命を受け、四{0A}方位の東を守護する。	；佛教的护法神。四天{0A}王之一。与八部众实{0A}属一族。奉帝释天之{0A}命，守护四方位中的{0A}东方。
datMyth.PTP	81	0	<EMPTY>	インド神話の英雄。{0A}変幻自在かつ空を飛ぶ{0A}力を持ち、叙事詩「ラ‒{0A}マヤ‒ナ」の中に幾多{0A}の活躍が記されている。{0A}名は「顎骨を持つもの」{0A}の意で、猿の頭と尾を{0A}持つ人間の姿で描かれ{0A}る事が多い。	；印度神话中的英雄。{0A}能够千变万化，并且{0A}拥有在空中飞行的能{0A}力。叙事诗「罗摩耶{0A}那」中有许多关于他的活{0A}跃事迹。名字的原意{0A}是「拥有颚骨者」，{0A}他常被形容为拥有猴{0A}子的头与尾巴的人类。
datMyth.PTP	82	0	<EMPTY>	仏教の護法神。{0A}四天王の一者。{0A}八部衆を同族にもつ。{0A}帝釈天の命を受け、四{0A}方位の西を守護する。	；佛教的护法神。四天{0A}王之一。与八部众实{0A}属一族。奉帝释天之{0A}命，守护四方位中的{0A}西方。
datMyth.PTP	83	0	<EMPTY>	仏教の護法神。{0A}四天王の一者。{0A}八部衆を同族にもつ。{0A}帝釈天の命を受け、四{0A}方位の南を守護する。	；佛教的护法神。四天{0A}王之一。与八部众实{0A}属一族。奉帝释天之{0A}命，守护四方位中的{0A}南方。
datMyth.PTP	84	0	<EMPTY>	小アジアはプリュギア{0A}の復活する神。{0A}地母神キュベレに捧げ{0A}られる運命を担ったア{0A}ティスは、人々の救済{0A}のために生�となり、{0A}殺されては復活する、{0A}救世主的な神として崇{0A}められた。	；小亚细亚弗里吉亚地{0A}区的复活之神。背负{0A}着被献给地母神西布{0A}莉之命运的阿提斯，{0A}是为了救赎人类的活{0A}祭品，即使遭到杀害{0A}仍然会再次复活，被{0A}视为具有救世主性格{0A}的神祇，受到当地人{0A}的崇拜。
datMyth.PTP	85	0	<EMPTY>	インド神話の古い巨大{0A}な龍。{0A}神々が巨大なマンダラ{0A}山を使い混沌の乳海を{0A}��しようとした際、{0A}その身体が使われた。{0A}抵抗して神々に毒を吐{0A}こうとしたが、シヴァ{0A}神にその毒を一息に飲{0A}み込まれた。	；印度神话中的古老巨{0A}龙。众神为了用巨大{0A}的曼荼罗山搅拌混沌{0A}乳海时，就用上了它{0A}的身躯。当时它试图{0A}抵抗，却被湿婆神一{0A}口气吞下了它所吐出{0A}的所有毒液。
datMyth.PTP	86	0	<EMPTY>	ギリシャ神話において{0A}世界の果ての島に棲む{0A}怪物ゲリュオンの牧場{0A}を守護した双頭の巨犬。{0A}非常に優秀な番犬であ{0A}ったが、英雄ヘラクレ{0A}スが12の難事を行う{0A}中で一撃の下に殺され{0A}てしまう。	；希腊神话中的双头巨{0A}犬。负责看守世界尽{0A}头的岛屿上，属于怪{0A}物革律翁的牧场。{0A}它虽然是一直非常能{0A}干的看门狗，但却遭{0A}到正在进行12试炼{0A}的海格力斯的一击毙{0A}命。
datMyth.PTP	87	0	<EMPTY>	日本神話の軍事の神。{0A}狩猟神·豊穣神として{0A}の性格も併せ持つ。{0A}国譲りを巡ってタケミ{0A}カヅチと切り結び敗北。{0A}落ち延びるも信濃国に{0A}追い詰められ、以後、{0A}諏訪の地を出る事を禁{0A}じられたという。	；日本神话中的军事之{0A}神。同时也具备着狩{0A}猎神、丰饶神的神格。{0A}在出云让国时与建御{0A}雷神相争落败，辗转{0A}逃往信浓国。于是后{0A}来他就遭到禁足，不{0A}得再离开诹访之地。
datMyth.PTP	88	0	<EMPTY>	小アジア·ヒッタイト{0A}の大地の巨人。{0A}天と地ができた時から{0A}それを支えているが、{0A}ひどく鈍感である。{0A}神々が戦争を行った際{0A}に生み出された怪物ウ{0A}ルリクムミを右肩に置{0A}かれても気付かなかっ{0A}た。	；小亚细亚赫梯地区的{0A}大地巨人。在天地形{0A}成之际就开始支撑着{0A}天地，但十分迟钝。{0A}因此，众神之战诞生{0A}的怪物乌利库梅被放{0A}置在它的右肩时，也{0A}未能察觉。
datMyth.PTP	89	0	<EMPTY>	日本の伝承の中で、古{0A}来より人の体にとりつ{0A}くと信じられている犬{0A}の霊。乗り移られると{0A}「犬つき」と呼ばれる{0A}状態に陥り正気を失う。{0A}また、陰陽師に式神と{0A}して使われる事もある。	；日本民间传说中，会{0A}附在人类身上四处危{0A}害的犬类。被附身的{0A}人被称为「犬附」，{0A}会失去理智。阴阳师{0A}会将其作为式神使役。
datMyth.PTP	90	0	<EMPTY>	ギリシャ神話の死を司{0A}る神。夜の女神ニュク{0A}スの息子で、冥界の王{0A}ハデスに従う。{0A}黒い衣服をまとい、手{0A}には死を招く剣を持っ{0A}ている。寿命が尽きる{0A}人間の髪を切り、冥界{0A}に送って、その者を誘{0A}うという。	；希腊神话中掌管死亡{0A}之神。黑夜女神倪克{0A}斯之子，听命于冥界{0A}之王哈迪斯。身着黑{0A}衣，手持会招来死亡{0A}的剑。会把将死之人{0A}的一缕头发割下并送{0A}至冥界，以此诱导该{0A}人过去。
datMyth.PTP	91	0	<EMPTY>	正体不明の金髪の少女{0A}の姿をした霊。幼い容{0A}姿だが、底知れぬ呪力{0A}を持つ。{0A}何者かのイメ‒ジから{0A}生まれた悪霊とも、不{0A}幸な死を遂げたイギリ{0A}ス人少女の霊であると{0A}もいわれる。	；无人知晓其真面目为{0A}何的金发少女幽灵。{0A}稚嫩的外表下潜藏着{0A}无尽的诅咒之力。{0A}有人说她是诞生于某{0A}人的想象中的恶灵，{0A}也有人说她是一位不{0A}幸死去的英国少女的{0A}灵魂。
datMyth.PTP	92	0	<EMPTY>	エジプト神話の悪神。{0A}もとは上エジプト地方{0A}で崇拝された主神であ{0A}った。{0A}兄であるオシリス神を{0A}謀略により殺害し、神{0A}神の支配者となるが、{0A}オシリス神の息子であ{0A}るホルス神に討たれる。	；埃及神话中的恶神。{0A}原本是受上游埃及地{0A}区人民崇拜的主神。{0A}它虽然用计害死了兄{0A}长欧西里斯，成为了{0A}诸神的统治者，然而{0A}最后却死于欧利西斯{0A}的儿子荷鲁斯之手。
datMyth.PTP	93	0	<EMPTY>	カナンの地を脅かした、{0A}メソポタミアの死と不{0A}毛の神。「忌」を意味{0A}する名の冥界に住む。{0A}自らと対を成す豊穣神{0A}を陰謀に陥れて殺すが、{0A}その妹アナトによって{0A}報復を遂げられ、討た{0A}れる。	；在美索不达米亚神话{0A}中，对迦南之地产生{0A}威胁，象征死亡与荒{0A}芜的神祇。居住在名{0A}字含义为「忌」的冥{0A}界中。以阴谋诡计杀{0A}害与自己相对的丰收{0A}神，都因丰收神之妹{0A}阿娜特的报复而被诛{0A}杀。
datMyth.PTP	94	0	<EMPTY>	「毒ありし光輝の者」{0A}という背反の意味の名{0A}を持つ、謎多き天使。{0A}その姿は翼ある大蛇で、{0A}天使でありながらデ‒{0A}モンの首領とも通称さ{0A}れる。堕天使とする解{0A}釈もあるが、それでは{0A}説明のつかない記述が{0A}聖書などに多く残る。	；有着「有毒的光辉者」{0A}这一矛盾之名的神秘{0A}天使。其样貌是有翼{0A}的大蛇，虽然是天使，{0A}但却也被通称为恶魔{0A}的首领。有的人会将{0A}它解释为堕天使，但{0A}圣经等典籍中留有许{0A}多于此解释相矛盾的{0A}记载。
datMyth.PTP	95	0	<EMPTY>	ヒンドゥ‒教や仏教で{0A}語られるガキの一種。{0A}無数のガキの中でも特{0A}に危険で力の強い者が{0A}こう呼ばれる。{0A}墓に潜み、呪文で死体{0A}を操って、人間に害を{0A}成す。	；在印度教与佛教中相{0A}传的饿鬼之一。在无{0A}数饿鬼当中也只有力{0A}量特别大，特别危险{0A}的才会被用这个名字{0A}称呼。平时躲在坟墓{0A}中，用咒文操纵尸体{0A}危害人类。
datMyth.PTP	96	0	<EMPTY>	ヴ‒ドゥ‒教に語られ{0A}る神や聖霊らの総称。{0A}教義に伝わる多くの神{0A}秘存在のうち、地上で{0A}人間の営みに実際的な{0A}影響をもたらす存在が{0A}この名で呼ばれる。{0A}陰の属性にある者は呪{0A}殺にまつわる強い力も{0A}持っているという。	；巫毒教当中对神与神{0A}灵的总称。遭教义中{0A}的诸多神秘存在当中，{0A}能够对人类实际造成{0A}影响者，就会被冠以{0A}这一称呼。其中阴属{0A}性的存在，在咒杀方{0A}面拥有非常强大的力{0A}量。
datMyth.PTP	97	0	<EMPTY>	ヨハネ黙示録に記され{0A}る、世界の終末に現れ{0A}るとされる四騎士の一。{0A}青白い馬に乗り、黄泉{0A}ハデスを従えている。{0A}死病でもって人々の命{0A}を奪い、滅ぼす力を持{0A}つ。	；约翰默示录中所记载{0A}的，于世界的终焉时{0A}现身的四骑士之一。{0A}它骑着苍白色的马，{0A}率领着黄泉哈底斯。{0A}它会以绝症夺走人的{0A}性命，拥有毁灭之力。
datMyth.PTP	98	0	<EMPTY>	天使のヒエラルキ‒の{0A}頂点に立つ四大天使の{0A}一者であり「神の如き{0A}者」を意味する名を持{0A}った最高位の天使。{0A}神自身が右腕とたのむ{0A}最も優れた存在で、手{0A}には、いかなる刃と斬{0A}り結んでも打ち克つ神{0A}秘の武器を握るという。	；位于天使位阶顶点的{0A}四大天使之一。{0A}名字的原意是「如神{0A}一般者」。是最高位{0A}阶的天使。他被神视{0A}为左右手，是最尊贵{0A}的存在。手上拿着无{0A}论与任何兵刃互击都{0A}能战胜的神秘武器。
datMyth.PTP	99	0	<EMPTY>	中国の多くの神話や思{0A}想に語られる「四聖獣」{0A}の一つ。{0A}方角の西、季節の秋、{0A}五行思想の金を司る。{0A}古代中国における百獣{0A}の王は虎であり、ビャ{0A}ッコはその頂点に立つ{0A}存在とされる。	；在许多中国神话与思{0A}想当中都会提到的{0A}「四圣兽」之一。{0A}掌管西方、秋季以及{0A}五行思想中的「金」。{0A}古代的中国认为老虎{0A}是百兽之王。而白虎{0A}则是虎中的王者。
datMyth.PTP	100	0	<EMPTY>	中国の多くの神話や思{0A}想に語られる「四聖獣」{0A}の一つ。{0A}方角の南、季節の夏、{0A}五行思想の火を司る。{0A}ウズラに似た姿の巨鳥{0A}で、五色の美声でさえ{0A}ずるという。	；在许多中国神话与思{0A}想当中都会提到的{0A}「四圣兽」之一。{0A}掌管南方、夏季以及{0A}五行思想中的「火」。{0A}身形近似鹌鹑的巨鸟，{0A}据说会发出有着五种{0A}音色的悦耳叫声。
datMyth.PTP	101	0	<EMPTY>	中国の多くの神話や思{0A}想に語られる「四聖獣」{0A}の一つ。{0A}方角の東、季節の春、{0A}五行思想の木を司る。{0A}四つの獣のうちで最も{0A}尊く、海底の宮殿に住{0A}むとされる。	；在许多中国神话与思{0A}想当中都会提到的{0A}「四圣兽」之一。{0A}掌管东方、春季以及{0A}五行思想中的「木」。{0A}在四圣兽中，最为尊{0A}贵。据说居住在海底{0A}的宫殿当中。
datMyth.PTP	102	0	<EMPTY>	神道の教義「一霊四魂」{0A}に示される、4つの魂の{0A}うちの1つ。{0A}霊魂のもつ二面の働き{0A}のうち、穏やかな側面{0A}を司るという。	；神道教义「一灵四魂」{0A}所提到的四魂之一。{0A}在灵魂所具备的两种{0A}面相当中，它掌管沉{0A}稳恬静的那一面。
datMyth.PTP	103	0	<EMPTY>	中国の多くの神話や思{0A}想に語られる「四聖獣」{0A}の一つ。{0A}方角の北、季節の冬、{0A}五行思想の水を司る。{0A}未来を見通して智恵を{0A}授け、時には人に化身{0A}して魔と戦う事もある{0A}と言われる。	；在许多中国神话与思{0A}想当中都会提到的{0A}「四圣兽」之一。{0A}掌管北方、冬季以及{0A}五行思想中的「水」。{0A}能够看穿未来，授予{0A}人智慧，有时还会化{0A}身为人与邪魔战斗。
datMyth.PTP	104	0	<EMPTY>	その名に「蝿の王」と{0A}いう意味を持つ、地獄{0A}に君臨する魔王。彼は{0A}手下の蝿を遣い魂を運{0A}ばせ、支配する。{0A}悪霊の頭として聖書に{0A}記載されたことから、{0A}キリスト教世界におけ{0A}る有力な悪魔としての{0A}地位を確立した。	；君临地狱的魔王，{0A}名字的意思是「苍蝇{0A}王」。它会派出手下{0A}的苍蝇获取人的灵魂，{0A}并加以支配。由于圣{0A}经总提到它是恶灵之{0A}首领，从而确立了它{0A}在基督教世界中，身{0A}为有力恶魔的地位。
datMyth.PTP	105	0	<EMPTY>	ヨハネ黙示録に「大淫{0A}婦」として記される魔{0A}人。{0A}神に逆らう7つの頭·{0A}10本の角を持つ赤い{0A}獣に跨り、その手には{0A}汚れに満ちた金の杯を{0A}持つと言う。	；在约翰默示录中名之{0A}为「大淫妇」的魔人。{0A}她脚跨在拥有忤逆神{0A}的七个头颅与十根尖{0A}角的红色野兽上，手{0A}中拿着盛满秽物的金{0A}杯。
datMyth.PTP	106	0	<EMPTY>	黙示録に記された奈落{0A}の主。害虫の大群や疫{0A}病を率いる魔王だとさ{0A}れる。{0A}元来は、イナゴが大発{0A}生して人里を食い荒ら{0A}す天災が神格化された{0A}ものと言われている。	；默示录中记载的深渊{0A}之王。根据描述，它{0A}是一位率领着疫病与{0A}大批害虫的魔王。据{0A}说是将侵袭人类聚落{0A}的大群蝗虫，加以神{0A}格化的产物。
datMyth.PTP	107	0	<EMPTY>	旧約聖書でアダムの最{0A}初の妻となった女性。{0A}後に楽園を出て夜魔と{0A}化す。堕落と追放の経{0A}緯に関しては諸説ある{0A}が、総じて不貞の象徴{0A}として描かれる。{0A}元来はバビロニアの地{0A}母神であった。	；在旧约圣经中，亚当{0A}的第一任妻子。后来{0A}离开乐园化身为夜魔。{0A}关于她堕落与遭到放{0A}逐的经过有许多不同{0A}的说法，但整体来说，{0A}她被描绘成不贞的象{0A}征。源自于巴比伦地{0A}区的地母神。
datMyth.PTP	108	0	<EMPTY>	ヨ‒ロッパ各地の伝承{0A}に残る男性型の夢魔。{0A}女性型のサキュバスと{0A}対をなす。{0A}眠っている女性の夢に{0A}忍びこみ、子を身篭ら{0A}せるという。	；在欧洲各地都留下的{0A}男性外观的梦魔。和{0A}女性外观的女梦魔恰{0A}成对比。据说，他会{0A}潜入睡眠中的女性的{0A}梦中，让她怀上身孕。
datMyth.PTP	109	0	<EMPTY>	ヨ‒ロッパ各地の伝承{0A}に残る女性型の夢魔。{0A}男性型のインキュバス{0A}と対をなす。{0A}眠っている男性の夢に{0A}忍びこみ、性的関係を{0A}結んで精を集める。{0A}素顔は醜い老婆だが、{0A}夢に現れるサキュバス{0A}は大変な美貌を備える。	；在欧洲各地都留下的{0A}女性外观的梦魔。和{0A}男性外观的男梦魔恰{0A}成对比。她会潜入睡{0A}眠中的男性的梦中，{0A}和他们发生性关系，{0A}并吸取他们的精气。{0A}她的真面目虽然是丑{0A}陋的老妇人，但出现{0A}在梦中时，大多具备{0A}不凡的美貌。
datMyth.PTP	110	0	<EMPTY>	旧約聖書で、アダムが{0A}最初の妻リリスとの間{0A}に設けた子らの名。{0A}母と同じく悪魔か、あ{0A}るいは夢魔のような存{0A}在であると解釈される。{0A}後にギリシャに伝わり、{0A}エンプ‒サの名でも呼{0A}ばれた。	；旧约圣经中，对亚当{0A}与其第一任妻子生下{0A}的子嗣的称呼。一般{0A}将其和母亲一样，解{0A}释为恶魔，或是某种{0A}接近梦魔的存在。后{0A}来传入希腊时，被称{0A}为「恩浦萨」。
